VL8_VL4,2.19,770113920.000000
VL8_VL8,2.19,770113920.000000
VL8_N,2.20,770113920.000000
VL8_VA,2.21,770113920.000000
VL8_IV,2.22,770113920.000000
VL8_VL2,2.22,770113920.000000
IV_VL8,2.89,2286624000.000000
N_VL8,2.94,2286624000.000000
VA_VL8,2.94,2286624000.000000
VL4_VL4,3.14,1027891968.000000
VL4_VL8,3.20,1027891968.000000
VL4_VL2,3.26,1027891968.000000
VL4_N,3.29,1027891968.000000
VL4_VA,3.38,1027891968.000000
VL4_IV,3.40,1027891968.000000
VA_IV,3.67,2575496448.000000
VA_VA,3.67,2575496448.000000
IV_N,3.80,2575496448.000000
N_N,3.81,2575496448.000000
IV_VA,3.88,2575496448.000000
VA_N,4.11,2575496448.000000
N_VA,4.34,2575496448.000000
IV_IV,5.39,2575495168.000000
N_VL4,5.43,2327876352.000000
N_IV,5.44,2575495168.000000
IV_VL4,5.47,2327876352.000000
VA_VL4,5.48,2327876352.000000
VL2_IV,6.53,1543683584.000000
VL2_VL2,6.69,1543683584.000000
VL2_VL4,6.70,1543683584.000000
VL2_VL8,6.74,1543683584.000000
VL2_N,6.75,1543683584.000000
VL2_VA,6.82,1543683584.000000
IV_VL2,10.82,2410325760.000000
VA_VL2,10.90,2410325760.000000
N_VL2,10.94,2410325760.000000
