VL8_VA,2.54,1.644841
VL8_VL4,2.56,1.644841
VL8_VL2,2.59,1.644841
VL8_VL8,2.60,1.644841
VL8_N,2.62,1.644841
VL8_IV,2.69,1.644841
VL4_N,5.04,1.644841
VL4_VA,5.11,1.644841
VL4_VL4,5.12,1.644841
VL4_VL8,5.18,1.644841
VL4_IV,5.21,1.644841
VL4_VL2,5.24,1.644841
VL2_VL4,10.27,1.644841
VL2_VL2,10.28,1.644841
VL2_VA,10.31,1.644841
VL2_VL8,10.34,1.644841
VL2_N,10.38,1.644841
VL2_IV,10.40,1.644841
VA_VL2,19.59,1.644872
N_VL2,19.90,1.644872
IV_VL2,19.96,1.644872
VA_VL4,24.15,1.644887
IV_VL4,24.27,1.644887
N_VL4,24.51,1.644887
VA_IV,46.54,1.644895
IV_VL8,46.59,1.644895
N_IV,46.68,1.644895
N_VA,46.69,1.644895
VA_VA,46.78,1.644895
N_N,46.79,1.644895
IV_IV,46.82,1.644895
N_VL8,46.88,1.644895
IV_VA,46.90,1.644895
IV_N,46.91,1.644895
VA_N,46.97,1.644895
VA_VL8,47.17,1.644895
